date,customer_id,category,sub_category,price
2021-01-04,12,Accessories,Locks,39.4
2021-03-31,12,Accessories,Locks,34.3
2021-06-25,12,Riders gears,Shoes,16.3
2021-09-19,12,Riders gears,Gloves,44.1
2021-12-14,12,Bikes,Mountain Bikes,781.6
2022-03-10,12,Bikes,Mountain Bikes,937.2
2022-06-04,12,Riders gears,Jackets,92.2
2022-08-29,12,Accessories,Pumps,41.9
2022-11-23,12,Accessories,Pumps,45.7
2020-03-16,13,Riders gears,Jackets,38.2
2020-06-13,13,Accessories,GPS,143.3
2020-09-10,13,Accessories,GPS,110.7
2020-12-08,13,Accessories,Pumps,40.4
2021-03-07,13,Accessories,Pumps,32.1
2021-06-04,13,Accessories,Locks,46.2
2021-09-01,13,Accessories,Locks,44.4
2021-11-29,13,Accessories,Locks,34.5
2022-02-26,13,Accessories,Pumps,42.1
2022-05-26,13,Accessories,GPS,122.3
2022-08-23,13,Accessories,GPS,178.7
2022-11-20,13,Riders gears,Jackets,83.9
2021-05-17,14,Riders gears,Shoes,91.4
2021-10-29,14,Accessories,Locks,43.1
2022-04-12,14,Accessories,GPS,149.7
2022-09-24,14,Riders gears,Gloves,10.0
2022-04-18,15,Riders gears,Helmets,181.8
2022-07-24,15,Riders gears,Shoes,31.5
2022-10-29,15,Bikes,Roads,3689.7
2023-02-03,15,Riders gears,Gloves,24.5
2020-02-02,16,Accessories,Pumps,49.1
2022-10-07,17,Bikes,eBikes,1102.3
2021-04-27,18,Riders gears,Helmets,64.4
2021-09-17,18,Riders gears,Gloves,17.1
2022-02-07,18,Accessories,Locks,47.8
2022-06-30,18,Accessories,Pumps,45.0
2022-11-20,18,Riders gears,Gloves,10.6
2021-02-20,19,Accessories,Locks,38.7
2021-06-25,19,Riders gears,Helmets,146.7
2021-10-28,19,Riders gears,Shoes,39.6
2022-03-02,19,Riders gears,Gloves,27.7
2022-07-05,19,Bikes,Mountain Bikes,677.9
2022-11-07,19,Accessories,Locks,43.9
2021-03-31,20,Riders gears,Helmets,131.5
2021-08-12,20,Accessories,GPS,109.7
2021-12-24,20,Riders gears,Gloves,22.5
2022-05-07,20,Accessories,Pumps,37.1
2022-09-18,20,Accessories,Locks,45.1
2023-01-30,20,Riders gears,Shoes,56.6
2019-05-16,21,Accessories,Locks,29.1
2019-09-14,21,Riders gears,Jackets,119.9
2020-01-13,21,Accessories,Locks,18.8
2020-05-13,21,Bikes,Mountain Bikes,1217.8
2020-09-11,21,Riders gears,Helmets,91.8
2021-01-10,21,Riders gears,Helmets,157.8
2021-05-11,21,Accessories,Pumps,42.1
2021-09-09,21,Riders gears,Jackets,72.0
2022-01-08,21,Accessories,GPS,126.6
2022-05-09,21,Accessories,Locks,10.1
2022-09-07,21,Riders gears,Helmets,149.4
2023-01-06,21,Accessories,Locks,68.2
2020-05-26,22,Riders gears,Jackets,64.2
2020-09-06,22,Riders gears,Shoes,66.7
2020-12-18,22,Accessories,Pumps,43.7
2021-03-31,22,Riders gears,Gloves,24.1
2021-07-12,22,Riders gears,Gloves,22.6
2021-10-23,22,Bikes,Roads,2494.1
2022-02-03,22,Riders gears,Helmets,144.1
2022-05-17,22,Accessories,Locks,40.9
2022-08-28,22,Riders gears,Helmets,125.1
2022-12-09,22,Accessories,Locks,40.9
2020-12-24,23,Riders gears,Jackets,10.0
2021-03-19,23,Riders gears,Helmets,147.8
2021-06-12,23,Accessories,Locks,43.7
2021-09-05,23,Riders gears,Gloves,31.5
2021-11-29,23,Riders gears,Helmets,156.0
2022-02-22,23,Riders gears,Gloves,32.1
2022-07-26,23,Bikes,eBikes,2918.2
2022-08-11,23,Accessories,Locks,39.9
2022-11-04,23,Riders gears,Shoes,40.2
2023-01-28,23,Riders gears,Helmets,161.7
2019-10-12,24,Accessories,Pumps,43.8
2020-03-16,24,Accessories,Locks,39.6
2020-08-19,24,Riders gears,Jackets,93.1
2021-01-22,24,Bikes,Mountain Bikes,994.5
2021-06-27,24,Riders gears,Helmets,156.3
2021-11-30,24,Accessories,GPS,115.9
2022-05-05,24,Riders gears,Helmets,161.8
2022-10-08,24,Riders gears,Gloves,16.9
2021-10-13,25,Riders gears,Jackets,56.2
2022-03-09,25,Accessories,Locks,46.3
2022-08-03,25,Riders gears,Jackets,45.2
2022-12-28,25,Bikes,Roads,3100.5
2020-04-30,26,Riders gears,Helmets,97.1
2020-07-04,26,Riders gears,Jackets,107.3
2020-09-07,26,Accessories,GPS,158.9
2020-11-11,26,Riders gears,Jackets,100.7
2021-01-15,26,Riders gears,Jackets,112.3
2021-03-21,26,Accessories,Locks,45.9
2021-05-25,26,Accessories,Locks,24.6
2021-07-29,26,Riders gears,Helmets,132.7
2021-10-02,26,Bikes,Roads,3748.6
2021-12-06,26,Riders gears,Gloves,10.0
2022-02-09,26,Accessories,Locks,25.8
2022-04-15,26,Riders gears,Shoes,75.0
2022-06-19,26,Accessories,Pumps,42.4
2022-08-23,26,Riders gears,Helmets,133.8
2022-10-27,26,Riders gears,Gloves,19.7
2022-12-31,26,Riders gears,Jackets,78.3
2021-11-15,27,Riders gears,Shoes,53.5
2022-02-28,27,Riders gears,Jackets,80.6
2022-06-13,27,Riders gears,Gloves,24.3
2022-09-26,27,Riders gears,Jackets,66.0
2023-01-09,27,Accessories,Pumps,42.0
2019-08-07,28,Bikes,Roads,4161.7
2019-12-20,28,Accessories,Locks,46.1
2020-05-03,28,Accessories,Locks,26.8
2020-09-15,28,Riders gears,Jackets,47.2
2021-01-28,28,Riders gears,Jackets,46.8
2021-06-12,28,Accessories,Pumps,45.3
2021-10-25,28,Accessories,Pumps,32.1
2022-03-09,28,Riders gears,Gloves,20.8
2022-07-22,28,Riders gears,Helmets,191.9
2022-12-04,28,Bikes,Mountain Bikes,749.2
2017-09-03,29,Accessories,GPS,139.3
2017-11-16,29,Riders gears,Helmets,116.1
2018-01-29,29,Accessories,Locks,28.7
2018-04-13,29,Accessories,Locks,30.0
2018-06-26,29,Accessories,Locks,40.5
2018-09-08,29,Bikes,Roads,1236.1
2018-11-21,29,Riders gears,Jackets,106.1
2019-02-03,29,Riders gears,Jackets,146.3
2019-04-18,29,Accessories,Locks,42.9
2019-07-01,29,Riders gears,Gloves,10.0
2019-09-13,29,Riders gears,Shoes,90.0
2019-11-26,29,Bikes,Mountain Bikes,1087.6
2020-02-08,29,Accessories,GPS,129.0
2020-04-22,29,Accessories,Locks,27.7
2020-07-05,29,Riders gears,Jackets,84.6
2020-09-17,29,Accessories,Pumps,31.8
2020-11-30,29,Accessories,Locks,40.2
2021-02-12,29,Accessories,Pumps,32.8
2021-04-27,29,Accessories,Locks,27.1
2021-07-10,29,Riders gears,Gloves,25.5
2021-09-22,29,Riders gears,Helmets,103.9
2021-12-05,29,Bikes,Roads,3155.7
2022-02-17,29,Riders gears,Shoes,35.7
2022-05-02,29,Accessories,GPS,139.6
2022-07-15,29,Riders gears,Jackets,77.2
2022-09-27,29,Accessories,GPS,127.5
2022-12-10,29,Accessories,Locks,68.1
2021-02-07,30,Accessories,Pumps,36.8
2021-07-12,30,Riders gears,Jackets,90.8
2021-12-14,30,Accessories,GPS,104.7
2022-05-18,30,Accessories,Pumps,41.4
2022-10-20,30,Riders gears,Gloves,23.9
2020-09-05,31,Riders gears,Helmets,102.0
2022-10-02,31,Bikes,eBikes,2344.8
2021-06-18,31,Accessories,GPS,150.7
2021-11-08,31,Riders gears,Jackets,73.6
2022-03-31,31,Riders gears,Gloves,40.6
2022-08-21,31,Riders gears,Helmets,151.6
2023-01-11,31,Accessories,Pumps,38.5
2022-07-28,32,Bikes,eBikes,1222.1
2021-05-17,32,Riders gears,Jackets,224.9
2021-08-26,32,Accessories,Locks,39.8
2021-12-05,32,Riders gears,Shoes,66.8
2022-03-16,32,Accessories,GPS,116.6
2022-06-25,32,Riders gears,Helmets,129.2
2022-10-04,32,Riders gears,Jackets,133.9
2023-01-13,32,Riders gears,Shoes,63.5
2020-05-15,33,Riders gears,Jackets,27.7
2020-11-19,33,Accessories,Locks,32.6
2021-05-26,33,Riders gears,Helmets,135.2
2021-11-30,33,Riders gears,Gloves,26.9
2022-06-06,33,Accessories,GPS,193.0
2022-12-11,33,Riders gears,Jackets,133.1
2021-07-23,34,Riders gears,Shoes,55.5
2021-10-07,34,Accessories,GPS,123.3
2021-12-22,34,Bikes,Mountain Bikes,1352.1
2022-03-08,34,Riders gears,Jackets,98.7
2022-05-23,34,Accessories,Locks,50.9
2022-08-07,34,Accessories,GPS,68.9
2022-10-22,34,Riders gears,Jackets,112.4
2023-01-06,34,Accessories,Pumps,41.5
2020-03-28,35,Accessories,Locks,19.9
2020-08-20,35,Riders gears,Gloves,15.0
2021-01-12,35,Riders gears,Gloves,36.1
2021-06-06,35,Riders gears,Helmets,155.0
2021-10-29,35,Accessories,Locks,34.7
2022-03-23,35,Accessories,Locks,41.0
2022-08-15,35,Bikes,Roads,2575.9
2023-01-07,35,Accessories,Locks,32.0
2020-09-29,36,Riders gears,Shoes,64.5
2021-02-03,36,Accessories,GPS,93.7
2021-06-10,36,Accessories,Pumps,30.7
2021-10-15,36,Riders gears,Jackets,113.2
2022-02-19,36,Accessories,Pumps,35.7
2022-06-26,36,Accessories,GPS,98.4
2022-10-31,36,Accessories,GPS,86.2
2021-06-12,37,Accessories,Pumps,43.4
2021-10-28,37,Riders gears,Jackets,10.0
2022-03-15,37,Riders gears,Shoes,63.8
2022-07-31,37,Riders gears,Jackets,74.7
2022-12-16,37,Accessories,Locks,40.5
2020-07-04,38,Riders gears,Jackets,87.3
2020-11-08,38,Accessories,Locks,37.6
2021-03-15,38,Riders gears,Helmets,122.5
2021-07-20,38,Riders gears,Shoes,62.1
2021-11-24,38,Accessories,GPS,104.6
2022-03-31,38,Riders gears,Jackets,179.9
2022-08-05,38,Accessories,GPS,165.2
2022-12-10,38,Accessories,GPS,156.5
2021-11-05,39,Accessories,Locks,58.2
2022-03-03,39,Accessories,GPS,104.0
2022-06-29,39,Riders gears,Jackets,143.4
2022-10-25,39,Riders gears,Shoes,41.7
2019-06-28,40,Accessories,Pumps,39.2
2019-10-09,40,Accessories,GPS,177.9
2020-01-20,40,Riders gears,Shoes,40.9
2020-05-02,40,Accessories,Locks,39.2
2020-08-13,40,Accessories,Locks,19.0
2020-11-24,40,Accessories,Pumps,34.4
2021-03-07,40,Riders gears,Shoes,74.1
2021-06-18,40,Riders gears,Helmets,130.7
2021-09-29,40,Accessories,Locks,44.5
2022-01-10,40,Bikes,Mountain Bikes,687.8
2022-04-23,40,Riders gears,Jackets,112.7
2022-08-04,40,Riders gears,Shoes,71.2
2022-11-15,40,Bikes,Roads,3517.9
2020-05-17,41,Riders gears,Jackets,181.5
2020-08-30,41,Riders gears,Jackets,100.7
2020-12-13,41,Accessories,GPS,151.5
2021-03-28,41,Accessories,Pumps,31.0
2021-07-11,41,Accessories,GPS,117.5
2021-10-24,41,Riders gears,Shoes,44.4
2022-02-06,41,Accessories,Locks,40.6
2022-05-22,41,Accessories,Locks,47.7
2022-09-04,41,Riders gears,Jackets,79.7
2022-12-18,41,Riders gears,Shoes,62.8
2019-06-01,42,Riders gears,Shoes,63.5
2019-10-06,42,Accessories,Pumps,34.5
2020-02-10,42,Riders gears,Jackets,73.6
2020-06-16,42,Riders gears,Helmets,129.1
2020-10-21,42,Accessories,Pumps,40.5
2021-02-25,42,Riders gears,Helmets,152.4
2021-07-02,42,Riders gears,Jackets,103.9
2021-11-06,42,Accessories,Pumps,36.3
2022-03-13,42,Accessories,Pumps,38.7
2022-07-18,42,Accessories,Locks,37.0
2022-11-22,42,Riders gears,Gloves,24.6
2021-09-04,43,Riders gears,Helmets,154.9
2021-12-26,43,Riders gears,Gloves,19.5
2022-04-18,43,Riders gears,Jackets,111.7
2022-08-09,43,Riders gears,Gloves,22.8
2022-11-30,43,Riders gears,Gloves,35.0
2019-11-21,44,Riders gears,Helmets,151.8
2020-03-17,44,Riders gears,Gloves,10.0
2020-07-12,44,Bikes,Mountain Bikes,817.4
2020-11-06,44,Riders gears,Shoes,103.3
2021-03-03,44,Bikes,Mountain Bikes,1087.1
2021-06-28,44,Bikes,Mountain Bikes,1279.1
2021-10-23,44,Riders gears,Jackets,94.5
2022-02-17,44,Accessories,Locks,31.8
2022-06-14,44,Bikes,Mountain Bikes,794.1
2022-10-09,44,Riders gears,Shoes,69.6
2023-02-03,44,Bikes,Roads,5326.0
2019-04-16,45,Riders gears,Helmets,119.2
2019-07-11,45,Accessories,Locks,52.8
2019-10-05,45,Riders gears,Helmets,136.0
2019-12-30,45,Riders gears,Gloves,26.0
2020-03-25,45,Accessories,Pumps,37.8
2020-06-19,45,Accessories,Locks,39.9
2020-09-13,45,Riders gears,Jackets,76.1
2020-12-08,45,Accessories,Pumps,36.5
2021-03-04,45,Riders gears,Helmets,166.2
2021-05-29,45,Accessories,Locks,52.1
2021-08-23,45,Accessories,Locks,40.6
2021-11-17,45,Accessories,Locks,43.6
2022-02-11,45,Riders gears,Jackets,134.3
2022-05-08,45,Accessories,GPS,95.7
2022-08-02,45,Accessories,GPS,141.5
2022-10-27,45,Accessories,GPS,196.0
2023-01-21,45,Riders gears,Helmets,126.1
2021-11-11,46,Accessories,GPS,129.3
2022-03-17,46,Riders gears,Gloves,18.4
2022-07-21,46,Riders gears,Gloves,16.9
2022-11-24,46,Riders gears,Helmets,120.1
2021-09-23,47,Accessories,Locks,55.0
2021-12-05,47,Riders gears,Helmets,132.9
2022-02-16,47,Riders gears,Jackets,128.5
2022-04-30,47,Accessories,Pumps,37.5
2022-07-12,47,Bikes,Roads,3681.4
2022-09-23,47,Riders gears,Helmets,99.4
2022-12-05,47,Riders gears,Gloves,27.9
2020-04-18,48,Riders gears,Jackets,65.5
2020-08-30,48,Riders gears,Gloves,10.0
2021-01-11,48,Accessories,Pumps,37.9
2021-05-25,48,Accessories,Locks,33.2
2021-10-06,48,Accessories,Locks,60.0
2022-02-17,48,Accessories,GPS,127.6
2022-07-01,48,Accessories,Locks,28.3
2022-11-12,48,Riders gears,Jackets,33.6
2021-03-27,49,Accessories,Pumps,36.3
2021-07-30,49,Riders gears,Jackets,120.6
2021-12-02,49,Riders gears,Jackets,163.6
2022-04-06,49,Riders gears,Gloves,36.6
2022-08-09,49,Riders gears,Jackets,128.3
2022-12-12,49,Riders gears,Shoes,38.5
2020-09-05,50,Accessories,Locks,41.3
2021-01-13,50,Bikes,Mountain Bikes,859.5
2021-05-23,50,Accessories,Locks,38.0
2021-09-30,50,Accessories,Locks,53.6
2022-02-07,50,Riders gears,Helmets,121.5
2022-06-17,50,Accessories,Locks,30.8
2022-10-25,50,Riders gears,Helmets,100.9
2021-11-05,51,Riders gears,Shoes,31.8
2022-03-28,51,Riders gears,Shoes,42.3
2022-08-18,51,Riders gears,Helmets,116.4
2023-01-08,51,Bikes,Mountain Bikes,678.0
2018-07-06,52,Riders gears,Gloves,30.2
2018-09-21,52,Accessories,Pumps,27.3
2018-12-07,52,Accessories,Locks,38.6
2019-02-22,52,Accessories,Locks,46.4
2019-05-10,52,Accessories,GPS,139.6
2019-07-26,52,Bikes,Roads,4208.5
2019-10-11,52,Riders gears,Helmets,120.3
2019-12-27,52,Riders gears,Helmets,150.1
2020-03-13,52,Riders gears,Helmets,99.3
2020-05-29,52,Bikes,Roads,2765.9
2020-08-14,52,Accessories,GPS,138.8
2020-10-30,52,Accessories,Locks,44.0
2021-01-15,52,Riders gears,Shoes,87.9
2021-04-02,52,Bikes,Mountain Bikes,866.2
2021-06-18,52,Accessories,GPS,128.5
2021-09-03,52,Riders gears,Helmets,91.8
2021-11-19,52,Riders gears,Helmets,135.8
2022-02-04,52,Riders gears,Jackets,151.7
2022-04-22,52,Accessories,GPS,89.0
2022-07-08,52,Riders gears,Shoes,78.7
2022-09-23,52,Riders gears,Gloves,10.1
2022-12-09,52,Accessories,Locks,50.8
2021-01-24,53,Riders gears,Gloves,37.9
2021-07-04,53,Riders gears,Shoes,51.9
2021-12-12,53,Accessories,Pumps,42.5
2022-05-22,53,Riders gears,Shoes,52.8
2022-10-30,53,Accessories,Locks,37.3
2020-03-25,54,Riders gears,Helmets,132.4
2021-10-21,55,Riders gears,Helmets,183.4
2022-02-08,55,Riders gears,Gloves,10.0
2022-05-29,55,Accessories,Pumps,34.6
2022-06-06,55,Bikes,eBikes,3300.5
2023-01-04,55,Accessories,Pumps,46.1
2020-04-09,56,Accessories,Locks,33.7
2020-08-03,56,Accessories,Pumps,41.1
2020-11-27,56,Riders gears,Jackets,88.5
2021-03-23,56,Accessories,Locks,44.0
2021-07-17,56,Accessories,Pumps,41.6
2021-11-10,56,Accessories,Locks,26.0
2022-03-06,56,Accessories,Pumps,39.7
2022-06-30,56,Accessories,Locks,35.6
2022-10-24,56,Riders gears,Shoes,49.3
2019-02-01,57,Accessories,GPS,104.9
2019-05-05,57,Riders gears,Gloves,18.4
2019-08-06,57,Riders gears,Jackets,50.8
2019-11-07,57,Riders gears,Helmets,104.7
2020-02-08,57,Riders gears,Jackets,173.0
2020-05-11,57,Accessories,Pumps,41.0
2020-08-12,57,Accessories,Pumps,39.7
2020-11-13,57,Accessories,GPS,138.2
2021-02-14,57,Accessories,Locks,36.5
2021-05-18,57,Accessories,Locks,64.9
2021-08-19,57,Riders gears,Helmets,133.8
2021-11-20,57,Riders gears,Jackets,50.9
2022-02-21,57,Riders gears,Shoes,71.9
2022-05-25,57,Riders gears,Jackets,72.8
2022-08-26,57,Accessories,Locks,40.8
2022-11-27,57,Accessories,GPS,145.1
2020-06-24,58,Riders gears,Jackets,200.3
2020-09-29,58,Accessories,GPS,134.2
2021-01-04,58,Accessories,Locks,31.9
2021-04-11,58,Accessories,Pumps,37.2
2021-07-17,58,Bikes,Roads,3940.7
2021-10-22,58,Accessories,Pumps,41.5
2022-01-27,58,Accessories,Pumps,40.6
2022-05-04,58,Accessories,Locks,36.7
2022-08-09,58,Accessories,Locks,28.9
2022-11-14,58,Accessories,Locks,48.0
2020-12-26,59,Accessories,GPS,184.6
2021-04-26,59,Accessories,GPS,129.9
2021-08-25,59,Accessories,Pumps,39.4
2021-12-24,59,Riders gears,Shoes,30.7
2022-04-24,59,Accessories,Pumps,35.7
2022-08-23,59,Riders gears,Jackets,51.6
2022-12-22,59,Riders gears,Jackets,40.0
2020-01-06,60,Riders gears,Shoes,69.1
2020-04-20,60,Riders gears,Helmets,131.5
2020-08-03,60,Accessories,Locks,47.6
2020-11-16,60,Riders gears,Helmets,181.3
2021-03-01,60,Bikes,Mountain Bikes,741.2
2021-06-14,60,Accessories,Pumps,33.3
2021-09-27,60,Riders gears,Shoes,69.9
2022-01-10,60,Riders gears,Gloves,12.9
2022-04-25,60,Accessories,Pumps,42.7
2022-08-08,60,Accessories,Locks,28.8
2022-11-21,60,Riders gears,Helmets,116.5
2019-09-15,61,Riders gears,Shoes,71.5
2020-01-19,61,Bikes,Mountain Bikes,533.6
2020-05-24,61,Accessories,Locks,24.3
2020-09-27,61,Riders gears,Helmets,131.1
2021-01-31,61,Accessories,Locks,34.5
2021-06-06,61,Accessories,Locks,31.0
2021-10-10,61,Accessories,Locks,44.3
2022-02-13,61,Riders gears,Gloves,41.1
2022-06-19,61,Accessories,Locks,43.4
2022-10-23,61,Riders gears,Helmets,134.7
2020-12-19,62,Riders gears,Gloves,11.8
2021-04-12,62,Accessories,Locks,37.2
2021-08-04,62,Riders gears,Shoes,73.0
2021-11-26,62,Accessories,Pumps,46.5
2022-03-20,62,Riders gears,Gloves,28.9
2022-07-12,62,Riders gears,Gloves,36.2
2022-11-03,62,Riders gears,Gloves,31.8
2021-09-12,63,Accessories,Pumps,40.7
2022-01-03,63,Accessories,Locks,40.1
2022-04-26,63,Bikes,Mountain Bikes,1056.3
2022-08-17,63,Bikes,Roads,4048.6
2022-12-08,63,Accessories,Locks,29.4
2021-12-23,64,Riders gears,Jackets,99.2
2022-05-14,64,Accessories,Pumps,46.0
2022-10-03,64,Accessories,Locks,47.9
2019-09-28,65,Bikes,Roads,2464.5
2020-02-02,65,Riders gears,Shoes,33.2
2020-06-08,65,Accessories,Pumps,41.6
2020-10-13,65,Riders gears,Helmets,128.2
2021-02-17,65,Riders gears,Shoes,68.7
2021-06-24,65,Riders gears,Helmets,148.9
2021-10-29,65,Accessories,GPS,95.2
2022-03-05,65,Riders gears,Jackets,88.9
2022-07-10,65,Bikes,Roads,2815.7
2022-11-14,65,Riders gears,Shoes,78.4
2020-03-04,66,Riders gears,Shoes,47.5
2020-05-25,66,Accessories,Pumps,38.3
2020-08-15,66,Accessories,Pumps,37.8
2020-11-05,66,Accessories,Pumps,38.9
2021-01-26,66,Riders gears,Jackets,93.1
2021-04-18,66,Riders gears,Gloves,32.2
2021-07-09,66,Accessories,Locks,40.7
2021-09-29,66,Accessories,Pumps,37.5
2021-12-20,66,Accessories,Locks,46.9
2022-03-12,66,Accessories,GPS,65.3
2022-06-02,66,Accessories,Locks,37.2
2022-08-23,66,Accessories,Locks,28.3
2022-11-13,66,Riders gears,Jackets,90.2
2023-02-03,66,Accessories,Locks,32.6
2021-09-12,67,Riders gears,Helmets,159.5
2021-12-31,67,Riders gears,Gloves,26.6
2022-04-20,67,Accessories,Locks,12.1
2022-08-08,67,Riders gears,Gloves,28.5
2022-11-26,67,Accessories,Pumps,36.6
2020-04-29,68,Accessories,Locks,38.7
2020-09-04,68,Accessories,Pumps,44.9
2021-01-10,68,Accessories,Pumps,38.3
2021-05-18,68,Riders gears,Helmets,124.1
2021-09-23,68,Accessories,GPS,71.5
2022-01-29,68,Accessories,Locks,40.4
2022-06-06,68,Accessories,Locks,24.0
2022-10-12,68,Accessories,Locks,35.1
2019-07-04,69,Riders gears,Jackets,76.4
